Match,Team,Player,MIN,PTS,2FG,3FG,FT,REB,AST,STL,TO,PIR
Armani vs Olympiacos,Olympiacos,T. Dorsey,34:00,25,5/6,3/8,6/7,4,3,0,0,23
Armani vs Olympiacos,Olympiacos,T. Walkup,29:58,2,1/4,0/3,0/0,3,6,1,2,2
Armani vs Olympiacos,Olympiacos,N. Milutinov,27:10,9,4/6,0/0,1/2,5,2,1,0,16
Armani vs Olympiacos,Olympiacos,A. Vezenkov,24:26,6,1/4,0/3,4/4,7,2,0,1,8
Armani vs Olympiacos,Olympiacos,T. Ward,22:51,8,3/5,0/1,2/2,1,2,1,1,5
Armani vs Olympiacos,Olympiacos,A. Peters,21:23,27,7/7,4/6,1/1,5,0,0,0,27
Armani vs Olympiacos,Olympiacos,E. Fournier,18:11,10,0/3,3/4,1/2,0,1,0,2,2
Armani vs Olympiacos,Olympiacos,S. McKissic,10:02,0,0/1,0/1,0/0,0,3,0,0,0
Armani vs Olympiacos,Olympiacos,D. Hall,7:01,0,0/0,0/0,0/0,1,1,0,0,1
Armani vs Olympiacos,Olympiacos,S. Lee,4:58,0,0/0,0/0,0/0,0,0,0,1,-3
Armani vs Olympiacos,Olympiacos,K. Antetokounmpo,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Armani vs Olympiacos,Olympiacos,K. Papanikolaou,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Armani vs Olympiacos,Armani,A. Brooks,29:45,15,3/4,3/7,0/0,3,3,1,0,16
Armani vs Olympiacos,Armani,Q. Ellis,29:36,16,4/6,2/2,2/3,2,5,0,1,19
Armani vs Olympiacos,Armani,G. Ricci,28:52,5,1/1,1/3,0/0,3,1,1,0,5
Armani vs Olympiacos,Armani,L. Bolmaro,27:58,9,3/9,1/2,0/0,8,4,1,1,12
Armani vs Olympiacos,Armani,D. Booker,21:25,13,2/3,3/6,0/0,1,3,0,2,7
Armani vs Olympiacos,Armani,M. Gudurić,21:17,8,2/3,1/5,1/2,3,1,0,3,0
Armani vs Olympiacos,Armani,S. Tonut,16:39,6,2/2,0/0,2/3,2,1,2,0,6
Armani vs Olympiacos,Armani,B. Dunston,14:04,10,4/4,0/0,2/3,3,1,0,1,12
Armani vs Olympiacos,Armani,N. Mannion,10:24,6,0/2,2/3,0/0,0,1,0,1,2
Armani vs Olympiacos,Armani,D. Flaccadori,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Armani vs Olympiacos,Armani,L. Tote,0:00,0,0/0,0/0,0/0,0,0,0,0,0
Armani vs Olympiacos,Armani,O. Diop,0:00,0,0/0,0/0,0/0,0,0,0,0,0
